img_entrenamiento,validacion,preprocesamiento,inpaint,RGB_gray,arquitectura,capas,filtros,neuronas,test,Acc,Bal_acc,F_score,Kappa,AUC,Tiempo(mins)
OCT,Sí­,No,No,RGB,Básica,2,1.0,120/84,iphone,0.24242424242424243,0.14487179487179488,0.2279907799621061,-0.08173076923076938,0.4778215045190546,3.524613944689433
OCT,Sí,No,No,RGB,Básica,2,1.0,120/84,Samsung,0.1827956989247312,0.1675744680851064,0.19990926001542575,-0.04002354326074142,0.5502431989457024,3.524613944689433
OCT,No,No,No,RGB,Alqudah,2,1.0,0/0,iphone,0.16161616161616163,0.19064685314685315,0.13924773450297248,-0.006985294117647145,0.4918539074855143,4.89661480585734
OCT,No,No,No,RGB,Alqudah,2,1.0,0/0,Samsung,0.1935483870967742,0.24080851063829786,0.24989999152942166,0.06212182331585314,0.5507510609196519,4.89661480585734
OCT,No,No,No,RGB,Alqudah,2,1.0,512/256,iphone,0.2727272727272727,0.2192016317016317,0.263264221158958,0.01533360961458774,0.5697205696443974,15.868669180075328
OCT,No,No,No,RGB,Alqudah,2,1.0,512/256,Samsung,0.3978494623655914,0.2339148936170213,0.4114369655965581,0.12851405622489953,0.5409680448529219,15.868669180075328
OCT,No,No,No,RGB,Alqudah,2,1.0,128/64,iphone,0.3333333333333333,0.2631993006993007,0.333864427898806,0.04263736263736262,0.5145081546912788,7.285662333170573
OCT,No,No,No,RGB,Alqudah,2,1.0,128/64,Samsung,0.5161290322580645,0.2882127659574468,0.45423647426467495,0.15369059656218398,0.5806372832034116,7.285662333170573
OCT,No,No,No,RGB,Alqudah,2,1.0,64/128,iphone,0.37373737373737376,0.20833333333333331,0.3261241329651792,0.029258263482524027,0.5237607113174517,6.010537600517273
OCT,No,No,No,RGB,Alqudah,2,1.0,64/128,Samsung,0.5053763440860215,0.21872340425531914,0.4068172043010752,0.07161458333333326,0.6193617813825081,6.010537600517273
OCT,No,No,No,RGB,Alqudah,2,1.0,128/256,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.5,7.353188669681549
OCT,No,No,No,RGB,Alqudah,2,1.0,128/256,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.49147058823529416,7.353188669681549
OCT,No,No,No,RGB,Alqudah,2,0.5,0/0,iphone,0.29292929292929293,0.2597027972027972,0.29537141017733487,0.058551827197391826,0.5355704322243,3.3914151986440024
OCT,No,No,No,RGB,Alqudah,2,0.5,0/0,Samsung,0.4838709677419355,0.23795744680851066,0.4173392286295512,0.08185931715343475,0.5516704512652009,3.3914151986440024
OCT,No,No,No,RGB,Alqudah,2,0.5,512/256,iphone,0.3434343434343434,0.2671328671328671,0.33713590964642864,0.07022106631989589,0.5527208329331822,8.144733301798503
OCT,No,No,No,RGB,Alqudah,2,0.5,512/256,Samsung,0.41935483870967744,0.24017021276595746,0.3867584028874351,0.09021739130434792,0.5553479597329819,8.144733301798503
OCT,No,No,No,RGB,Alqudah,2,0.5,128/64,iphone,0.31313131313131315,0.2304778554778555,0.3001683501683502,-0.02528175449284209,0.5125852349642923,4.254488901297251
OCT,No,No,No,RGB,Alqudah,2,0.5,128/64,Samsung,0.45161290322580644,0.20944680851063832,0.39054739623999585,0.038321167883211715,0.5260889831239333,4.254488901297251
OCT,No,No,No,RGB,Alqudah,2,0.5,64/128,iphone,0.31313131313131315,0.20061188811188813,0.3073895151189837,0.000593824228028561,0.5617394806550384,4.160482136408488
OCT,No,No,No,RGB,Alqudah,2,0.5,64/128,Samsung,0.41935483870967744,0.17719148936170212,0.33354159592529714,-0.08000000000000007,0.4881749427592167,4.160482136408488
OCT,No,No,No,RGB,Alqudah,2,0.5,128/256,iphone,0.29292929292929293,0.20017482517482516,0.2891868385474524,0.004024144869215207,0.5077952241971021,4.372957758108774
OCT,No,No,No,RGB,Alqudah,2,0.5,128/256,Samsung,0.3548387096774194,0.25438297872340426,0.36397028939163184,0.08404464871963224,0.5713745912816327,4.372957758108774
OCT,No,No,No,RGB,Alqudah,2,2.0,0/0,iphone,0.21212121212121213,0.21308275058275056,0.1956406166932483,0.01379310344827589,0.48411168908541746,11.178188530604045
OCT,No,No,No,RGB,Alqudah,2,2.0,0/0,Samsung,0.3118279569892473,0.19612765957446807,0.34015084830597697,0.048441247002397936,0.5546720003702911,11.178188530604045
OCT,No,No,No,RGB,Alqudah,2,2.0,512/256,iphone,0.2727272727272727,0.2222902097902098,0.28713628713628714,0.01777594047126918,0.5500555040242269,33.324983366330464
OCT,No,No,No,RGB,Alqudah,2,2.0,512/256,Samsung,0.44086021505376344,0.21268085106382978,0.39643463497453313,0.0425658285488022,0.5500529459704698,33.324983366330464
OCT,No,No,No,RGB,Alqudah,2,2.0,128/64,iphone,0.31313131313131315,0.23368298368298368,0.2968157069790463,0.04279823688326467,0.5697105951987186,16.574215352535248
OCT,No,No,No,RGB,Alqudah,2,2.0,128/64,Samsung,0.2903225806451613,0.1838723404255319,0.319118605408928,0.035057380914950365,0.48644939746082727,16.574215352535248
